i01	V(vhd)
-3.699999999999969e-004	6.100974e-001
-3.689999999999968e-004	6.100990e-001
-3.679999999999968e-004	6.101004e-001
-3.669999999999968e-004	6.101019e-001
-3.659999999999968e-004	6.101035e-001
-3.649999999999967e-004	6.101050e-001
-3.639999999999967e-004	6.101065e-001
-3.629999999999967e-004	6.101080e-001
-3.619999999999967e-004	6.101094e-001
-3.609999999999966e-004	6.101110e-001
-3.599999999999966e-004	6.101125e-001
-3.589999999999966e-004	6.101140e-001
-3.579999999999966e-004	6.101155e-001
-3.569999999999965e-004	6.101170e-001
-3.559999999999965e-004	6.101184e-001
-3.549999999999965e-004	6.101199e-001
-3.539999999999965e-004	6.101214e-001
-3.529999999999964e-004	6.101229e-001
-3.519999999999964e-004	6.101243e-001
-3.509999999999964e-004	6.101258e-001
-3.499999999999964e-004	6.101273e-001
-3.489999999999963e-004	6.101287e-001
-3.479999999999963e-004	6.101301e-001
-3.469999999999963e-004	6.101316e-001
-3.459999999999963e-004	6.101331e-001
-3.449999999999962e-004	6.101345e-001
-3.439999999999962e-004	6.101359e-001
-3.429999999999962e-004	6.101373e-001
-3.419999999999962e-004	6.101387e-001
-3.409999999999962e-004	6.101401e-001
-3.399999999999961e-004	6.101415e-001
-3.389999999999961e-004	6.101428e-001
-3.379999999999961e-004	6.101442e-001
-3.369999999999961e-004	6.101456e-001
-3.359999999999960e-004	6.101469e-001
-3.349999999999960e-004	6.101482e-001
-3.339999999999960e-004	6.101495e-001
-3.329999999999960e-004	6.101508e-001
-3.319999999999959e-004	6.101521e-001
-3.309999999999959e-004	6.101533e-001
-3.299999999999959e-004	6.101545e-001
-3.289999999999959e-004	6.101557e-001
-3.279999999999958e-004	6.101569e-001
-3.269999999999958e-004	6.101580e-001
-3.259999999999958e-004	6.101592e-001
-3.249999999999958e-004	6.101602e-001
-3.239999999999957e-004	6.101612e-001
-3.229999999999957e-004	6.101623e-001
-3.219999999999957e-004	6.101632e-001
-3.209999999999957e-004	6.101641e-001
-3.199999999999956e-004	6.101650e-001
-3.189999999999956e-004	6.101658e-001
-3.179999999999956e-004	6.101665e-001
-3.169999999999956e-004	6.101672e-001
-3.159999999999955e-004	6.101677e-001
-3.149999999999955e-004	6.101683e-001
-3.139999999999955e-004	6.101686e-001
-3.129999999999955e-004	6.101690e-001
-3.119999999999954e-004	6.101692e-001
-3.109999999999954e-004	6.101692e-001
-3.099999999999954e-004	6.101691e-001
-3.089999999999954e-004	6.101689e-001
-3.079999999999953e-004	6.101684e-001
-3.069999999999953e-004	6.101678e-001
-3.059999999999953e-004	6.101671e-001
-3.049999999999953e-004	6.101664e-001
-3.039999999999953e-004	6.101656e-001
-3.029999999999952e-004	6.101647e-001
-3.019999999999952e-004	6.101638e-001
-3.009999999999952e-004	6.101627e-001
-2.999999999999952e-004	6.101617e-001
-2.989999999999951e-004	6.101605e-001
-2.979999999999951e-004	6.101592e-001
-2.969999999999951e-004	6.101578e-001
-2.959999999999951e-004	6.101564e-001
-2.949999999999950e-004	6.101549e-001
-2.939999999999950e-004	6.101533e-001
-2.929999999999950e-004	6.101515e-001
-2.919999999999950e-004	6.101497e-001
-2.909999999999949e-004	6.101478e-001
-2.899999999999949e-004	6.101457e-001
-2.889999999999949e-004	6.101437e-001
-2.879999999999949e-004	6.101414e-001
-2.869999999999948e-004	6.101390e-001
-2.859999999999948e-004	6.101366e-001
-2.849999999999948e-004	6.101339e-001
-2.839999999999948e-004	6.101313e-001
-2.829999999999947e-004	6.101284e-001
-2.819999999999947e-004	6.101254e-001
-2.809999999999947e-004	6.101223e-001
-2.799999999999947e-004	6.101190e-001
-2.789999999999946e-004	6.101156e-001
-2.779999999999946e-004	6.101121e-001
-2.769999999999946e-004	6.101084e-001
-2.759999999999946e-004	6.101046e-001
-2.749999999999945e-004	6.101006e-001
-2.739999999999945e-004	6.100965e-001
-2.729999999999945e-004	6.100922e-001
-2.719999999999945e-004	6.100877e-001
-2.709999999999944e-004	6.100830e-001
-2.699999999999944e-004	6.100782e-001
-2.689999999999944e-004	6.100732e-001
-2.679999999999944e-004	6.100680e-001
-2.669999999999944e-004	6.100626e-001
-2.659999999999943e-004	6.100571e-001
-2.649999999999943e-004	6.100513e-001
-2.639999999999943e-004	6.100453e-001
-2.629999999999943e-004	6.100391e-001
-2.619999999999942e-004	6.100327e-001
-2.609999999999942e-004	6.100261e-001
-2.599999999999942e-004	6.100193e-001
-2.589999999999942e-004	6.100122e-001
-2.579999999999941e-004	6.100049e-001
-2.569999999999941e-004	6.099973e-001
-2.559999999999941e-004	6.099896e-001
-2.549999999999941e-004	6.099815e-001
-2.539999999999940e-004	6.099733e-001
-2.529999999999940e-004	6.099647e-001
-2.519999999999940e-004	6.099559e-001
-2.509999999999940e-004	6.099468e-001
-2.499999999999939e-004	6.099375e-001
-2.489999999999939e-004	6.099278e-001
-2.479999999999939e-004	6.099179e-001
-2.469999999999939e-004	6.099077e-001
-2.459999999999938e-004	6.098971e-001
-2.449999999999938e-004	6.098863e-001
-2.439999999999938e-004	6.098751e-001
-2.429999999999938e-004	6.098636e-001
-2.419999999999938e-004	6.098518e-001
-2.409999999999938e-004	6.098397e-001
-2.399999999999938e-004	6.098272e-001
-2.389999999999938e-004	6.098143e-001
-2.379999999999938e-004	6.098012e-001
-2.369999999999938e-004	6.097876e-001
-2.359999999999938e-004	6.097736e-001
-2.349999999999938e-004	6.097593e-001
-2.339999999999938e-004	6.097445e-001
-2.329999999999939e-004	6.097294e-001
-2.319999999999939e-004	6.097139e-001
-2.309999999999939e-004	6.096978e-001
-2.299999999999939e-004	6.096814e-001
-2.289999999999939e-004	6.096644e-001
-2.279999999999939e-004	6.096471e-001
-2.269999999999939e-004	6.096292e-001
-2.259999999999939e-004	6.096109e-001
-2.249999999999939e-004	6.095920e-001
-2.239999999999939e-004	6.095726e-001
-2.229999999999939e-004	6.095526e-001
-2.219999999999939e-004	6.095320e-001
-2.209999999999939e-004	6.095108e-001
-2.199999999999939e-004	6.094890e-001
-2.189999999999939e-004	6.094666e-001
-2.179999999999939e-004	6.094434e-001
-2.169999999999939e-004	6.094195e-001
-2.159999999999939e-004	6.093948e-001
-2.149999999999939e-004	6.093693e-001
-2.139999999999939e-004	6.093429e-001
