i1	V(vo)
-2.819999999999947e-004	2.449866e+000
-2.809999999999947e-004	2.449636e+000
-2.799999999999947e-004	2.449398e+000
-2.789999999999946e-004	2.449151e+000
-2.779999999999946e-004	2.448897e+000
-2.769999999999946e-004	2.448633e+000
-2.759999999999946e-004	2.448361e+000
-2.749999999999945e-004	2.448080e+000
-2.739999999999945e-004	2.447790e+000
-2.729999999999945e-004	2.447490e+000
-2.719999999999945e-004	2.447181e+000
-2.709999999999944e-004	2.446862e+000
-2.699999999999944e-004	2.446533e+000
-2.689999999999944e-004	2.446194e+000
-2.679999999999944e-004	2.445844e+000
-2.669999999999944e-004	2.445483e+000
-2.659999999999943e-004	2.445112e+000
-2.649999999999943e-004	2.444730e+000
-2.639999999999943e-004	2.444336e+000
-2.629999999999943e-004	2.443930e+000
-2.619999999999942e-004	2.443513e+000
-2.609999999999942e-004	2.443084e+000
-2.599999999999942e-004	2.442642e+000
-2.589999999999942e-004	2.442188e+000
-2.579999999999941e-004	2.441721e+000
-2.569999999999941e-004	2.441241e+000
-2.559999999999941e-004	2.440747e+000
-2.549999999999941e-004	2.440240e+000
-2.539999999999940e-004	2.439718e+000
-2.529999999999940e-004	2.439183e+000
-2.519999999999940e-004	2.438632e+000
-2.509999999999940e-004	2.438067e+000
-2.499999999999939e-004	2.437486e+000
-2.489999999999939e-004	2.436890e+000
-2.479999999999939e-004	2.436277e+000
-2.469999999999939e-004	2.435648e+000
-2.459999999999938e-004	2.435002e+000
-2.449999999999938e-004	2.434338e+000
-2.439999999999938e-004	2.433657e+000
-2.429999999999938e-004	2.432957e+000
-2.419999999999938e-004	2.432238e+000
-2.409999999999938e-004	2.431499e+000
-2.399999999999938e-004	2.430740e+000
-2.389999999999938e-004	2.429960e+000
-2.379999999999938e-004	2.429158e+000
-2.369999999999938e-004	2.428334e+000
-2.359999999999938e-004	2.427486e+000
-2.349999999999938e-004	2.426614e+000
-2.339999999999938e-004	2.425715e+000
-2.329999999999939e-004	2.424790e+000
-2.319999999999939e-004	2.423836e+000
-2.309999999999939e-004	2.422853e+000
-2.299999999999939e-004	2.421837e+000
-2.289999999999939e-004	2.420788e+000
-2.279999999999939e-004	2.419703e+000
-2.269999999999939e-004	2.418578e+000
-2.259999999999939e-004	2.417412e+000
-2.249999999999939e-004	2.416199e+000
-2.239999999999939e-004	2.414937e+000
-2.229999999999939e-004	2.413620e+000
-2.219999999999939e-004	2.412241e+000
-2.209999999999939e-004	2.410792e+000
-2.199999999999939e-004	2.409222e+000
-2.189999999999939e-004	2.407594e+000
-2.179999999999939e-004	2.405856e+000
-2.169999999999939e-004	2.403983e+000
-2.159999999999939e-004	2.401940e+000
-2.149999999999939e-004	2.399677e+000
-2.139999999999939e-004	2.397105e+000
-2.129999999999939e-004	2.394057e+000
-2.119999999999939e-004	2.390106e+000
-2.109999999999939e-004	2.383889e+000
-2.099999999999939e-004	2.376866e+000
-2.089999999999939e-004	2.369841e+000
-2.079999999999939e-004	2.362813e+000
-2.069999999999939e-004	2.355783e+000
-2.059999999999939e-004	2.348752e+000
-2.049999999999939e-004	2.341718e+000
-2.039999999999939e-004	2.334682e+000
-2.029999999999939e-004	2.327643e+000
-2.019999999999939e-004	2.320603e+000
-2.009999999999939e-004	2.313560e+000
-1.999999999999939e-004	2.306515e+000
-1.989999999999939e-004	2.299468e+000
-1.979999999999939e-004	2.292418e+000
-1.969999999999940e-004	2.285366e+000
-1.959999999999940e-004	2.278311e+000
-1.949999999999940e-004	2.271255e+000
-1.939999999999940e-004	2.264196e+000
-1.929999999999940e-004	2.257134e+000
-1.919999999999940e-004	2.250070e+000
-1.909999999999940e-004	2.243004e+000
-1.899999999999940e-004	2.235934e+000
-1.889999999999940e-004	2.228863e+000
-1.879999999999940e-004	2.221789e+000
-1.869999999999940e-004	2.214712e+000
-1.859999999999940e-004	2.207633e+000
-1.849999999999940e-004	2.200551e+000
-1.839999999999940e-004	2.193466e+000
-1.829999999999940e-004	2.186378e+000
-1.819999999999940e-004	2.179288e+000
-1.809999999999940e-004	2.172195e+000
-1.799999999999940e-004	2.165100e+000
-1.789999999999940e-004	2.158001e+000
-1.779999999999940e-004	2.150900e+000
-1.769999999999940e-004	2.143795e+000
-1.759999999999940e-004	2.136688e+000
-1.749999999999940e-004	2.129578e+000
-1.739999999999940e-004	2.122465e+000
-1.729999999999940e-004	2.115348e+000
-1.719999999999940e-004	2.108229e+000
-1.709999999999940e-004	2.101106e+000
-1.699999999999940e-004	2.093981e+000
-1.689999999999940e-004	2.086852e+000
-1.679999999999940e-004	2.079720e+000
-1.669999999999940e-004	2.072585e+000
-1.659999999999940e-004	2.065446e+000
-1.649999999999940e-004	2.058304e+000
-1.639999999999940e-004	2.051159e+000
-1.629999999999940e-004	2.044010e+000
-1.619999999999940e-004	2.036858e+000
-1.609999999999941e-004	2.029702e+000
-1.599999999999941e-004	2.022542e+000
-1.589999999999941e-004	2.015379e+000
-1.579999999999941e-004	2.008213e+000
-1.569999999999941e-004	2.001043e+000
-1.559999999999941e-004	1.993868e+000
-1.549999999999941e-004	1.986691e+000
-1.539999999999941e-004	1.979509e+000
-1.529999999999941e-004	1.972323e+000
-1.519999999999941e-004	1.965134e+000
-1.509999999999941e-004	1.957940e+000
-1.499999999999941e-004	1.950742e+000
-1.489999999999941e-004	1.943541e+000
-1.479999999999941e-004	1.936335e+000
-1.469999999999941e-004	1.929125e+000
-1.459999999999941e-004	1.921910e+000
-1.449999999999941e-004	1.914691e+000
-1.439999999999941e-004	1.907468e+000
-1.429999999999941e-004	1.900240e+000
-1.419999999999941e-004	1.893008e+000
-1.409999999999941e-004	1.885771e+000
-1.399999999999941e-004	1.878530e+000
-1.389999999999941e-004	1.871284e+000
-1.379999999999941e-004	1.864033e+000
-1.369999999999941e-004	1.856777e+000
-1.359999999999941e-004	1.849516e+000
-1.349999999999941e-004	1.842250e+000
-1.339999999999941e-004	1.834979e+000
-1.329999999999941e-004	1.827702e+000
-1.319999999999941e-004	1.820421e+000
-1.309999999999941e-004	1.813134e+000
-1.299999999999941e-004	1.805842e+000
-1.289999999999941e-004	1.798544e+000
-1.279999999999941e-004	1.791240e+000
-1.269999999999941e-004	1.783931e+000
-1.259999999999942e-004	1.776616e+000
-1.249999999999942e-004	1.769295e+000
-1.239999999999942e-004	1.761969e+000
-1.229999999999942e-004	1.754636e+000
-1.219999999999942e-004	1.747297e+000
-1.209999999999942e-004	1.739951e+000
-1.199999999999942e-004	1.732599e+000
-1.189999999999942e-004	1.725241e+000
-1.179999999999942e-004	1.717876e+000
-1.169999999999942e-004	1.710505e+000
-1.159999999999942e-004	1.703126e+000
-1.149999999999942e-004	1.695741e+000
-1.139999999999942e-004	1.688348e+000
-1.129999999999942e-004	1.680948e+000
-1.119999999999942e-004	1.673541e+000
-1.109999999999942e-004	1.666126e+000
-1.099999999999942e-004	1.658704e+000
-1.089999999999942e-004	1.651274e+000
-1.079999999999942e-004	1.643836e+000
-1.069999999999942e-004	1.636389e+000
-1.059999999999942e-004	1.628935e+000
-1.049999999999942e-004	1.621472e+000
-1.039999999999942e-004	1.614001e+000
-1.029999999999942e-004	1.606521e+000
-1.019999999999942e-004	1.599032e+000
