vs	V(vo)
-9.519999999999991e-001	-9.377457e-001
-9.499999999999991e-001	-9.372105e-001
-9.479999999999991e-001	-9.366333e-001
-9.459999999999991e-001	-9.360080e-001
-9.439999999999991e-001	-9.353269e-001
-9.419999999999991e-001	-9.345814e-001
-9.399999999999991e-001	-9.337612e-001
-9.379999999999991e-001	-9.328551e-001
-9.359999999999991e-001	-9.318507e-001
-9.339999999999991e-001	-9.307364e-001
-9.319999999999991e-001	-9.295021e-001
-9.299999999999991e-001	-9.281420e-001
-9.279999999999991e-001	-9.266567e-001
-9.259999999999991e-001	-9.250543e-001
-9.239999999999990e-001	-9.233494e-001
-9.219999999999990e-001	-9.215609e-001
-9.199999999999990e-001	-9.197080e-001
-9.179999999999990e-001	-9.178078e-001
-9.159999999999990e-001	-9.158745e-001
-9.139999999999990e-001	-9.139185e-001
-9.119999999999990e-001	-9.119472e-001
-9.099999999999990e-001	-9.099659e-001
-9.079999999999990e-001	-9.079780e-001
-9.059999999999990e-001	-9.059858e-001
-9.039999999999990e-001	-9.039909e-001
-9.019999999999990e-001	-9.019941e-001
-8.999999999999990e-001	-8.999962e-001
-8.979999999999990e-001	-8.979976e-001
-8.959999999999990e-001	-8.959984e-001
-8.939999999999990e-001	-8.939990e-001
-8.919999999999990e-001	-8.919993e-001
-8.899999999999990e-001	-8.899996e-001
-8.879999999999990e-001	-8.879997e-001
-8.859999999999990e-001	-8.859998e-001
-8.839999999999990e-001	-8.839999e-001
-8.819999999999990e-001	-8.819999e-001
-8.799999999999990e-001	-8.799999e-001
-8.779999999999990e-001	-8.780000e-001
-8.759999999999990e-001	-8.759999e-001
-8.739999999999990e-001	-8.740000e-001
-8.719999999999990e-001	-8.720000e-001
-8.699999999999990e-001	-8.699999e-001
-8.679999999999990e-001	-8.680000e-001
-8.659999999999990e-001	-8.660000e-001
-8.639999999999990e-001	-8.640000e-001
-8.619999999999990e-001	-8.620000e-001
-8.599999999999990e-001	-8.600000e-001
-8.579999999999990e-001	-8.580000e-001
-8.559999999999990e-001	-8.559999e-001
-8.539999999999990e-001	-8.540000e-001
-8.519999999999990e-001	-8.520000e-001
-8.499999999999990e-001	-8.500000e-001
-8.479999999999990e-001	-8.480000e-001
-8.459999999999990e-001	-8.460000e-001
-8.439999999999990e-001	-8.440000e-001
-8.419999999999990e-001	-8.419999e-001
-8.399999999999990e-001	-8.400000e-001
-8.379999999999990e-001	-8.380000e-001
